GXLC210_DTEX_50_68,2.03,2.95,3.13,3.45,3.2,3.09,2.77,2.67,2.13,2.06,1.74,1.64,1.39,1.35,,,,,,
GXLC210_DTEX_50_69,3.88,4.12,4.41,4.05,3.77,3.06,2.38,1.81,1.67,1.32,1.14,,,,,,,,,
GXLC210_DTEX_50_70,2.77,2.88,3.2,2.84,2.84,2.45,2.2,1.96,1.6,1.46,1.39,,,,,,,,,
GXLC210_DTEX_50_71,2.7,2.88,2.99,3.13,3.02,2.88,2.74,2.6,2.06,1.78,1.49,1.42,,,,,,,,
GXLC210_DTEX_50_72,3.13,3.34,3.2,3.38,3.34,3.2,3.09,3.02,2.63,2.51,2.06,1.92,1.56,1.35,,,,,,
GXLC210_DTEX_50_73,3.13,3.09,3.11,3.16,2.95,2.81,1.85,1.88,1.78,,,,,,,,,,,
GXLC210_DTEX_50_74,3.02,3.09,3.24,3.02,2.99,2.7,2.67,2.24,2.13,1.85,1.74,1.49,1.39,1.24,1.24,,,,,
GXLC210_DTEX_50_75,2.56,2.77,2.92,2.81,2.84,2.56,2.38,1.92,1.81,1.53,1.39,1.1,1,0.82,,,,,,
GXLC210_DTEX_50_76,3.95,3.59,3.63,3.27,3.16,2.81,2.49,1.99,1.64,1.46,1.39,1.21,1.07,,,,,,,
GXLC210_DTEX_50_77,3.84,3.52,3.45,3.13,3.16,2.88,2.81,2.24,2.28,1.81,1.67,1.42,1.32,,,,,,,
GXLC210_DTEX_50_78,3.2,3.16,3.06,3.02,2.99,2.56,2.45,2.06,1.81,1.49,1.39,1.14,1.03,0.92,,,,,,
GXLC210_DTEX_50_79,2.99,2.81,2.81,2.84,2.92,2.42,2.45,2.35,2.06,2.13,1.96,1.71,1.64,,,,,,,
GXLC210_DTEX_50_80,3.06,3.13,3.45,3.38,2.84,2.92,2.74,2.38,2.35,,,,,,,,,,,
GXLC210_DTEX_50_81,2.81,2.88,2.84,2.77,2.56,2.45,2.24,2.2,1.81,1.8,1.6,1.44,1.14,,,,,,,
GXLC210_DTEX_50_82,2.77,3.06,3.09,3.31,3.52,3.34,3.41,2.99,3.02,2.67,2.35,1.71,1.56,1.56,1.28,1.24,,,,
GXLC210_DTEX_50_83,2.93,2.99,3.35,3.09,3.09,2.84,2.89,2.42,2.24,1.85,1.92,1.56,1.42,1.16,0.89,,,,,
GXLC210_DTEX_50_84,2.86,2.95,3.45,3.48,3.63,3.66,3.7,3.16,2.67,2.1,1.99,1.85,1.78,1.51,1.35,1.03,,,,
GXLC210_DTEX_50_85,3.09,3.09,3.02,2.92,2.92,2.88,2.79,2.81,2.56,2.45,2.42,2.13,2.06,1.6,,,,,,
GXLC210_DTEX_50_86,4.34,4.52,4.48,4.02,3.95,3.34,2.95,2.17,1.96,1.67,1.46,,,,,,,,,
GXLC210_DTEX_50_87,3.24,3.27,3.38,2.95,2.92,2.56,2.44,2.38,2.17,2.03,,,,,,,,,,
GXLC210_DTEX_50_88,3.24,3.57,4.05,3.95,3.91,3.91,3.8,3.27,2.99,2.2,1.92,1.6,,,,,,,,
GXLC210_DTEX_50_89,2.74,2.88,3.06,2.77,2.77,2.45,2.45,2.28,2.17,2.13,2.19,1.96,1.88,1.65,1.53,1.24,,,,
GXLC210_DTEX_50_90,2.81,2.7,2.42,2.45,2.42,2.38,2.17,2.1,1.81,1.49,1.28,1.17,0.92,,,,,,,
GXLC210_DTEX_50_91,2.7,2.74,2.92,2.95,2.92,2.81,2.67,2.45,2.35,2.2,1.78,1.53,1.32,1.07,,,,,,
GXLC210_DTEX_50_92,2.99,3.38,3.48,3.52,3.48,3.24,3.09,2.77,2.2,2.03,1.85,1.71,1.24,,,,,,,
GXLC210_DTEX_50_93,3.27,3.52,3.59,3.38,3.34,3.31,3.16,3.13,3.13,2.99,2.99,2.52,,,,,,,,
GXLC210_DTEX_50_94,3.66,3.8,3.45,3.41,3.06,3.02,2.52,2.1,1.71,1.46,1.14,0.89,,,,,,,,
GXLC210_DTEX_50_95,2.74,2.92,2.92,3.02,2.99,2.77,2.63,2.17,1.99,1.67,1.56,1.42,1.39,1.24,0.92,,,,,
GXLC210_DTEX_50_96,2.95,2.95,2.88,2.7,2.52,2.31,1.78,1.78,1.6,1.49,1.35,1.03,,,,,,,,
GXLC210_DTEX_50_97,2.77,2.92,2.92,2.84,2.81,2.67,2.63,2.45,2.38,2.2,2.2,1.92,1.71,1.42,1,,,,,
GXLC210_DTEX_50_98,3.41,3.88,4.09,4.27,4.2,4.23,3.84,3.48,2.92,2.77,2.49,2.2,1.92,1.81,,,,,,
GXLC210_DTEX_50_99,3.56,3.59,3.59,3.16,3.06,2.74,2.38,1.96,1.78,1.35,,,,,,,,,,
GXLC210_DTEX_50_100,3.77,3.48,3.2,3.13,3.02,2.74,2.74,2.52,2.28,1.96,1.6,1.39,1.1,,,,,,,
GXLC210_DTEX_50_101,2.95,3.02,3.13,3.24,2.92,2.81,2.49,2.24,1.71,1.53,1.21,,,,,,,,,
GXLC210_DTEX_50_102,3.16,3.43,3.41,3.63,3.68,3.22,3.13,3.02,2.84,2.63,2.13,1.78,,,,,,,,
GXLC210_DTEX_50_103,2.92,2.84,2.88,2.81,2.63,2.56,2.6,2.52,2.49,2.38,2.31,2.13,1.99,1.92,1.32,1.28,1.28,,,
GXLC210_DTEX_50_104,2.92,3.2,3.06,2.95,2.77,2.67,2.45,2.42,2.1,1.92,1.71,1.64,1.39,1.1,0.96,,,,,
GXLC210_DTEX_50_105,3.06,3.52,3.59,3.8,3.47,3.48,3.34,3.31,3.24,3.2,2.7,2.24,1.92,1.53,,,,,,
GXLC210_DTEX_50_106,2.49,2.74,2.7,2.68,2.63,2.56,2.49,2.38,2.35,2.31,2.24,1.85,1.6,1.46,1.42,,,,,
GXLC210_DTEX_50_107,2.99,3.13,3.16,3.2,3.09,3.09,2.99,2.92,2.9,2.67,2.2,1.81,1.64,1.39,1.1,,,,,
GXLC210_DTEX_50_108,2.35,2.49,2.52,2.49,2.63,2.67,2.6,2.6,2.6,2.45,2.45,2.2,1.96,1.74,1.49,,,,,
GXLC210_DTEX_50_109,2.77,2.84,2.74,2.52,2.45,2.38,2.38,2.2,2.17,2.13,2.06,1.99,1.85,1.71,1.56,1.39,,,,
GXLC210_DTEX_50_110,2.67,2.88,2.84,2.92,2.92,2.77,2.7,2.56,2.38,2.06,1.74,1.53,,,,,,,,
GXLC210_DTEX_50_111,3.95,4.23,3.95,3.88,3.52,3.16,2.84,2.28,2.06,1.78,1.74,1.56,1.32,,,,,,,
GXLC210_DTEX_50_112,3.24,3.59,3.34,3.34,3.24,3.2,2.95,2.6,2.13,1.78,1.6,1.17,0.96,,,,,,,
GXLC210_DTEX_50_113,2.95,3.13,3.06,3.02,2.92,2.88,2.52,2.24,1.78,1.49,1.28,1.21,1.14,1.07,1,,,,,
GXLC210_DTEX_50_114,3.63,3.77,4.02,3.88,3.41,3.2,3.09,2.74,2.2,2.03,1.85,1.71,1.28,,,,,,,
GXLC210_DTEX_50_115,2.95,3.31,3.63,3.7,3.73,3.63,3.45,3.24,2.99,2.67,2.31,1.96,1.67,1.39,1.07,,,,,
GXLC210_DTEX_50_116,3.09,3.13,2.95,2.95,2.88,2.84,2.77,2.74,2.45,2.13,1.85,1.67,1.42,1.24,1.14,,,,,
GXLC210_DTEX_50_117,3.91,4.3,3.91,3.98,3.8,3.41,3.24,2.92,2.38,2.1,1.96,1.71,1.67,1.21,,,,,,
GXLC210_DTEX_50_118,3.48,3.16,3.02,3.06,2.99,2.9,2.84,2.81,2.56,2.49,2.13,1.81,1.56,1.32,1.17,,,,,
GXLC210_DTEX_50_119,3.45,3.31,3.2,3.24,2.88,2.56,2.17,2.06,1.49,1.21,1,,,,,,,,,
GXLC210_DTEX_50_120,4.12,4.02,3.98,3.8,3.68,3.45,3.16,2.88,2.45,2.28,1.99,1.88,1.6,1.32,1.14,,,,,
GXLC210_DTEX_50_121,3.38,3.52,3.41,3.34,2.99,2.7,2.31,2.06,1.74,1.32,0.89,,,,,,,,,
GXLC210_DTEX_50_122,3.27,3.13,3.09,2.99,2.74,2.67,2.56,2.45,2.2,1.92,1.81,1.6,1.49,,,,,,,
GXLC210_DTEX_50_123,4.23,3.63,3.06,2.84,2.67,2.52,2.2,1.81,1.56,1.28,1.21,,,,,,,,,
GXLC210_DTEX_50_124,3.13,3.06,2.95,2.95,2.77,2.52,2.03,1.85,1.6,1.53,1.49,1.28,,,,,,,,
GXLC210_DTEX_50_125,3.52,3.27,3.16,2.84,2.52,1.96,1.53,1.32,0.78,0.75,,,,,,,,,,
GXLC210_DTEX_50_126,3.45,3.06,3.02,2.95,2.6,2.49,2.45,2.13,1.74,1.6,1.53,,,,,,,,,
GXLC210_DTEX_50_127,2.88,2.81,2.49,2.45,2.24,2.2,1.92,1.71,1.64,1.42,1.07,,,,,,,,,
GXLC210_DTEX_50_128,2.95,3.27,3.41,3.32,3.27,3.16,2.99,2.95,2.74,2.6,2.06,1.96,1.64,1.49,1.42,1.1,,,,
GXLC210_DTEX_50_129,3.13,3.38,3.48,3.59,3.16,3.09,2.77,2.31,2.17,1.96,1.67,1.46,1.28,1.07,0.92,,,,,
GXLC210_DTEX_50_130,3.66,3.34,3.06,2.92,2.88,2.92,2.56,2.24,2.1,1.78,1.64,1.42,1.32,1.14,1.03,,,,,
GXLC210_DTEX_50_131,2.31,2.63,2.7,2.74,2.38,2.03,1.78,1.6,1.46,1.28,,,,,,,,,,
GXLC210_DTEX_50_132,2.56,2.81,2.92,3.13,2.99,2.84,2.77,2.56,2.35,2.17,1.96,1.64,1.53,1.17,1,0.89,,,,
GXLC210_DTEX_50_133,3.56,3.52,3.56,3.45,3.2,3.02,2.95,2.95,2.88,2.84,2.52,1.99,1.78,1.71,,,,,,
GXLC210_DTEX_50_134,4.09,3.63,3.31,2.95,2.81,2.7,2.49,2.17,1.92,1.64,1.35,0.96,,,,,,,,
GXLC210_DTEX_50_135,2.88,3.38,3.41,3.38,3.34,3.31,3.2,2.95,2.81,2.67,2.49,2.24,2.03,1.85,1.6,1.53,1.53,1.24,1.24,1.17
GXLC210_DTEX_50_136,3.24,3.52,3.41,3.27,3.24,3.02,2.67,2.52,2.35,2.03,2.03,1.78,1.67,1.64,1.24,1.17,,,,
GXLC210_DTEX_50_137,2.6,2.56,2.45,2.31,2.1,1.99,1.92,1.78,1.67,1.42,1.28,1.07,,,,,,,,
GXLC210_DTEX_50_138,2.84,3.77,3.88,4.12,4.27,4.27,3.95,3.56,2.67,2.42,,,,,,,,,,
GXLC210_DTEX_50_139,3.59,3.73,3.88,4.09,3.98,3.7,3.56,3.31,2.84,2.13,1.92,1.71,,,,,,,,
GXLC210_DTEX_50_140,3.73,3.8,4.2,4.12,3.95,3.7,3.73,3.2,3.02,2.49,,,,,,,,,,
GXLC210_DTEX_50_141,2.56,2.63,2.74,2.95,3.09,2.84,2.1,1.64,,,,,,,,,,,,
GXLC210_DTEX_50_142,3.7,3.63,3.56,3.31,3.06,2.84,2.84,2.67,2.31,2.03,1.78,1.35,,,,,,,,
GXLC210_DTEX_50_143,3.27,3.16,3.09,2.7,2.35,2.24,2.13,1.71,1.6,1.53,1.49,1.32,1.17,1.14,,,,,,
GXLC210_DTEX_50_144,3.31,3.24,3.02,2.95,2.95,2.84,2.67,2.52,2.28,2.03,1.81,1.6,1.42,1.21,0.96,,,,,
GXLC210_DTEX_50_145,2.95,2.92,2.88,2.84,2.81,2.84,2.77,2.74,2.52,2.31,1.99,1.78,1.67,1.6,1.42,1.24,1.14,1.03,,
GXLC210_DTEX_50_146,3.5,3.77,3.84,3.84,3.77,3.48,3.24,2.84,2.28,1.88,1.6,1.35,1,,,,,,,
GXLC210_DTEX_50_147,3.06,3.56,3.52,3.48,3.31,3.24,3.09,2.77,2.49,2.13,1.96,1.81,1.6,1.56,1.42,1.07,,,,
